"Census Blockgroup","Children","Children_wNULLvalues","Elderly","Elderly_wNULLvalues","NonWhite","NonWhite_wNullvalues","Poverty","Poverty_wNULLvalues","Education","Education_wNULLvalues","English","English_wNULLvalues","Elevation","SeaLevelRise","Precipitation","Diabetes","MentalHealth","Asthma","Disability","Disability_wNULLvalues","HousingQuality","Homeless","LivAlone","LivAlone_wNULLvalues","FloodHealthIndex","FloodHealthIndex_Quintiles"
"060759809001","0.07295712243",,"0.0000000008",,"0.599175","0.599175","0.356678376",,"0.99607992709","0.99607992709","0.15055862845",,"-6","0.182261","0.035771","22.0584","36.52","15.1339","0.13360831861",,"14.1093","17.5025","0.48059111555","0.48059111555","84.819","5"
"060750201001","0.07989300153",,"0.12400000313","0.12400000313","0.651","0.651","0.50970601002","0.50970601002","0.72400003584","0.72400003584","0.23200000159",,"7.83292","0","0.0205164","16.0115","62.0535","10.5741","0.23800000496","0.23800000496","10.2406","15.8921","0.52200002211","0.52200002211","83.486","5"
"060750117001","0.02714900147",,"0.1030000009",,"0.697","0.697","0.37859500272","0.37859500272","0.86200001526","0.86200001526","0.17100000128",,"-1.99906","0.106609","0.00532113","1.4068","98.5924","0.8008","0.18700000128",,"39.5622","4.9374","0.6350000075","0.6350000075","83.4791","5"
"060750178021","0.084215","0.084215","0.088","0.088","0.584","0.584","0.327362","0.327362","0.843","0.843","0.119","0.119","-5.96629","0.0645794","0.0241664","14.9856","54.0699","9.5802","0.229","0.229","7.04366","19.2683","0.427","0.427","82.4925","5"
"060750125012","0.09533150978",,"0.22199906769","0.22199906769","0.726001","0.726001","0.79475029013","0.79475029013","0.69499738993","0.69499738993","0.20299925795","0.20299925795","7.13278","0","0.00410501","15.5","63.7499","12.9672","0.42499797137","0.42499797137","13.7255","14.6184","0.73199689019","0.73199689019","81.8061","5"
"060750176011","0.109834","0.109834","0.141","0.141","0.733","0.733","0.550862","0.550862","0.806","0.806","0.117","0.117","10.6969","0","0.00862461","16.0094","62.0594","10.5831","0.227","0.227","170.94","19.2683","0.609","0.609","81.7994","5"
"060750201003","0.079893","0.079893","0.124","0.124","0.651","0.651","0.509706","0.509706","0.724","0.724","0.232","0.232","5.81684","0","0.028468","15.9985","61.8836","10.5438","0.238","0.238","9.68738","3.2195","0.522","0.522","81.506","5"
"060750101001","0.05751665777","0.05751665777","0.19751667","0.19751667","0.557799","0.557799","0.32755633911","0.32755633911","0.87850698","0.87850698","0.18474196","0.18474196","-7.52577","0.228203","0.00314665","5.1173","22.3352","4.0437","0.12971244","0.12971244","4.54545","4.8488","0.51688442","0.51688442","81.1858","5"
"060750232002","0.25512766087",,"0.10099057438","0.10099057438","0.943005",,"0.42760483778","0.42760483778","0.70993307123","0.70993307123","0.09199123288",,"-6","0.102409","0.0151036","23.1903","38.5638","16.1088","0.10798980444",,"6.2182","17.613","0.26597487641",,"80.8657","5"
"060750201002","0.07989308496","0.07989308496","0.12400012094","0.12400012094","0.650999","0.650999","0.5097063393","0.5097063393","0.72400092825","0.72400092825","0.23200008166","0.23200008166","13.9179","0","0.0137591","16.0125","62.05","10.5693","0.238000184","0.238000184","11.5778","3.2195","0.52200053132","0.52200053132","80.8327","5"
"060750124012","0.11706","0.11706","0.096","0.096","0.781","0.781","0.755098","0.755098","0.683","0.683","0.288","0.288","46.1449","0","0.00636154","12.9919","52.7672","9.9502","0.223","0.223","13.036","19.2683","0.551","0.551","80.8061","5"
"060750178012","0.018917",,"0.554","0.554","0.741","0.741","0.577931","0.577931","0.64","0.64","0.535","0.535","-4.2587","0.0691119","0.00908376","9.9","14.55","4.6817","0.452","0.452","0.462321","19.2683","0.678","0.678","80.5259","5"
"060750612001","0.2072650087",,"0.105",,"0.917","0.917","0.50377604254",,"0.63600011881","0.63600011881","0.22000001796",,"0.851755","0.000183621","0.00701462","23.2","38.58","16.1156","0.09000001594",,"8.45712","17.613","0.26400005732","0.26400005732","80.1859","5"
"060750180001","0.04230102964",,"0.05000019586",,"0.602","0.602","0.29961524601","0.29961524601","0.86400046089","0.86400046089","0.04800020957",,"-5.3631","0.348208","0.0347239","9.9","14.5501","4.6817","0.13400015916","0.13400015916","3.03306","19.2683","0.57100031698","0.57100031698","80.179","5"
"060750125021","0.043981",,"0.25","0.25","0.868","0.868","0.725127","0.725127","0.57","0.57","0.419","0.419","35.2041","0","0.00600325","15.4995","63.7475","12.9667","0.327","0.327","6.70196","19.2683","0.673","0.673","79.8128","5"
"060750176015","0.109834","0.109834","0.141","0.141","0.733","0.733","0.550862","0.550862","0.806","0.806","0.117","0.117","10.0642","0","0.00402495","16.0068","62.0689","10.5959","0.227","0.227","6.98324","19.2683","0.609","0.609","79.1461","5"
"060750177002","0.08403901168",,"0.09700001999","0.09700001999","0.565","0.565","0.32648107454","0.32648107454","0.78300015808","0.78300015808","0.08500002415",,"3.85416","0","0.155139","15.6917","58.2542","9.9887","0.15800003482","0.15800003482","18.6841","10.2643","0.45100011511","0.45100011511","78.8193","5"
"060750124011","0.11706","0.11706","0.096","0.096","0.781","0.781","0.755098","0.755098","0.683","0.683","0.288","0.288","55.3915","0","0.00724379","12.9732","52.6854","9.9277","0.223","0.223","8.62999","19.2683","0.551","0.551","78.8128","5"
"060750234001","0.30035037641","0.30035037641","0.11599976358","0.11599976358","0.964",,"0.62935730221","0.62935730221","0.6949989039","0.6949989039","0.1559996041",,"-0.903518","0.0177518","0.0102606","23.2","38.58","16.1156","0.14899963001","0.14899963001","8.51257","17.613","0.16899988568","0.16899988568","78.1992","5"
